tag,time,ex,ey,ez,ax,ay,az,lx,ly,lz,x,y,z
head_imu,3.041679,358.1997,277.6794,22.03949,-0.05688548,-8.440537,3.302717,-9.059743,-0.1447089,0.2323069,0.03718889,1.673304,-0.2563992
head_imu,3.09168,358.9534,280.0713,19.38583,-0.08563459,-8.571668,2.740806,-8.984818,-0.3166673,0.4069427,0.01583652,1.679409,-0.2362284
head_imu,3.14168,359.2622,282.1591,16.65258,-0.1603305,-8.899732,1.899266,-9.055019,-0.8057819,0.4421272,-0.005916669,1.687765,-0.2113094
head_imu,3.191681,359.5402,283.328,14.3021,-0.2537245,-9.533544,0.9171903,-9.44736,-1.547799,0.381802,-0.02830417,1.696788,-0.1840975
head_imu,3.241682,0.08184149,283.9415,13.32722,-0.1629949,-10.41646,-0.01375079,-10.12358,-2.452265,0.1697592,-0.05109917,1.704269,-0.1569199
head_imu,3.291682,0.9841548,284.393,12.80702,0.259468,-11.11369,-0.5183578,-10.74497,-2.89134,-0.1892296,-0.07324549,1.708466,-0.1310382
head_imu,3.341683,1.498577,284.8611,12.16132,0.8780509,-11.01775,-0.6850928,-10.70094,-2.753075,-0.7359031,-0.09319668,1.709618,-0.1068692
head_imu,3.391684,1.710659,285.4812,11.50854,1.55009,-10.59403,-0.5795658,-10.39575,-2.264407,-1.33156,-0.1092727,1.708786,-0.08414918
head_imu,3.441684,1.520256,285.7087,10.84679,1.946276,-9.816642,-0.4688084,-9.704225,-1.782371,-1.73937,-0.1204829,1.707911,-0.06260116
head_imu,3.491685,1.22051,285.9062,10.69074,1.886407,-9.277482,-0.7043618,-9.126639,-1.886204,-1.809151,-0.1269772,1.708344,-0.04281403
head_imu,3.541686,0.8291669,286.0776,11.25411,1.585814,-9.558673,-1.086801,-9.281693,-2.463923,-1.68625,-0.1295069,1.709379,-0.02574392
head_imu,3.591686,0.3475781,285.8162,12.27342,1.298487,-9.692473,-1.459604,-9.257235,-3.088919,-1.588317,-0.1287904,1.710683,-0.01232281
head_imu,3.641687,359.4692,285.365,14.2788,1.197177,-9.756703,-1.74478,-9.103655,-3.725635,-1.707011,-0.125081,1.712096,-0.003263651
head_imu,3.691688,358.4349,284.6914,17.20549,1.191989,-9.931703,-1.960835,-8.96903,-4.446442,-1.920959,-0.1183916,1.713179,0.000893419
head_imu,3.741688,357.3745,283.9864,20.5757,1.160502,-10.05682,-2.042484,-8.737974,-5.097544,-2.078725,-0.1088009,1.71362,-5.572041E-05
head_imu,3.791689,356.5619,283.214,24.37373,1.027542,-10.42394,-2.022133,-8.682423,-5.837076,-2.085072,-0.0966414,1.712502,-0.006060192
head_imu,3.84169,355.8487,282.7027,26.99902,0.6786317,-10.41865,-1.593811,-8.555407,-5.936516,-1.764039,-0.0827853,1.709836,-0.01604919
head_imu,3.89169,355.3022,282.5452,28.30904,0.1688153,-10.15009,-0.8377895,-8.510716,-5.471512,-1.176889,-0.06850716,1.706296,-0.02813266
head_imu,3.941691,354.8777,282.3906,28.70625,-0.3628224,-9.924073,-0.05634725,-8.632556,-4.878922,-0.5451204,-0.05513608,1.702445,-0.040357
head_imu,3.991692,355.0647,282.2893,28.48899,-0.8681968,-9.642072,0.7164246,-8.764507,-4.170362,0.1675721,-0.0439355,1.698989,-0.05079028
head_imu,4.041691,355.5556,282.5577,26.87385,-1.211554,-9.552617,1.277499,-9.040869,-3.478915,0.7156919,-0.03576379,1.696152,-0.05802982
head_imu,4.09169,356.1857,283.1361,23.95932,-1.496932,-9.410377,1.668076,-9.213647,-2.689026,1.206783,-0.03133442,1.694288,-0.06109916
head_imu,4.141689,356.8147,284.1996,20.91217,-0.9548001,-9.430165,1.335515,-9.238957,-2.394983,0.7273107,-0.02929205,1.69335,-0.06082971
head_imu,4.191689,357.4204,285.0678,18.34316,-1.11762,-9.033341,1.468518,-8.9829,-1.790474,1.052904,-0.03004372,1.694328,-0.05688897
head_imu,4.241688,357.8586,285.6582,16.28296,-1.013807,-9.081264,0.9413064,-8.932451,-1.949959,0.8900443,-0.03332992,1.697102,-0.05059496
head_imu,4.291687,358.352,286.1194,14.78148,-0.934121,-9.513373,0.3673524,-9.246392,-2.343043,0.7253807,-0.03895141,1.700594,-0.04338257
head_imu,4.341686,358.9833,286.4805,13.51276,-0.8354828,-9.858317,-0.1106337,-9.517019,-2.639951,0.5947275,-0.04666162,1.703939,-0.03644677
head_imu,4.391685,359.4734,286.8441,12.22351,-0.620985,-10.11676,-0.3869958,-9.774801,-2.680686,0.3892016,-0.05592428,1.706493,-0.03047845
head_imu,4.441685,359.7653,287.0231,11.32713,-0.2819359,-10.13207,-0.4192866,-9.840265,-2.464185,0.1053325,-0.06589179,1.708216,-0.02555835
head_imu,4.491684,359.9718,287.0577,10.62864,0.04951954,-9.946866,-0.3702715,-9.713523,-2.168247,-0.1608485,-0.07573549,1.709572,-0.02156393
head_imu,4.541683,0.09850247,287.08,10.07253,0.3250033,-9.813685,-0.3123194,-9.627576,-1.91644,-0.3855275,-0.08476669,1.710894,-0.01835031
