tag,time,ex,ey,ez,ax,ay,az,lx,ly,lz,x,y,z
right_hip_imu,3.591686,346.3904,221.2249,356.9205,0.1868248,-9.189124,-0.5949944,-9.023045,-0.04797108,-1.846969,1.499272,0.7822132,-0.04458338
right_hip_imu,3.641687,346.7396,220.4232,357.4279,0.3691196,-9.432263,-0.4957154,-9.230191,-0.1884172,-2.029195,1.500615,0.7817866,-0.04203914
right_hip_imu,3.691688,347.1192,220.4266,358.1484,0.4606247,-9.654493,-0.1972467,-9.388995,-0.1752802,-2.297033,1.50311,0.7817238,-0.03998801
right_hip_imu,3.741688,346.3636,221.4672,358.5009,0.3626823,-9.512801,0.1138911,-9.169904,0.04355923,-2.559074,1.506511,0.782379,-0.03765216
right_hip_imu,3.791689,345.0316,222.3849,357.4619,0.2139091,-9.638281,0.3507495,-9.194573,0.486084,-2.879026,1.510447,0.7834384,-0.03443943
right_hip_imu,3.84169,342.6429,222.9581,356.0555,0.0834465,-9.413857,0.4078753,-8.843222,0.827167,-3.147581,1.514592,0.7854633,-0.03020702
right_hip_imu,3.89169,340.0819,223.229,354.7813,0.1432896,-9.170241,0.09436831,-8.532939,0.7394381,-3.280998,1.519095,0.7890625,-0.02573868
right_hip_imu,3.941691,338.1645,223.2061,354.0179,0.211668,-9.422488,-0.2051108,-8.731261,0.6186153,-3.500364,1.524127,0.7936055,-0.02178312
right_hip_imu,3.991692,336.9601,222.939,353.5691,-0.03695488,-9.586806,-0.3428556,-8.897113,0.7950178,-3.497871,1.529067,0.7986815,-0.0186847
right_hip_imu,4.041691,336.7889,222.7229,353.3778,-0.3018856,-10.12225,-0.5661599,-9.502608,0.9397971,-3.418885,1.533252,0.8029519,-0.01700168
right_hip_imu,4.09169,337.949,222.2286,354.0165,-0.6401539,-10.79485,-0.636968,-10.28267,1.123922,-3.21681,1.535836,0.8047351,-0.01691108
right_hip_imu,4.141689,339.4007,221.3785,354.75,-0.3840446,-10.61267,-0.5931363,-10.14685,0.8280226,-3.079618,1.537461,0.8044867,-0.01830332
right_hip_imu,4.191689,340.5169,220.9074,355.1426,-0.4368782,-10.4093,-0.6730921,-10.05152,0.7431984,-2.722522,1.537993,0.802715,-0.02137829
right_hip_imu,4.241688,341.7358,220.3245,356.0035,-0.3879547,-10.11014,-0.5244426,-9.783984,0.639845,-2.550415,1.537555,0.800168,-0.02576436
right_hip_imu,4.291687,342.8952,220.0142,356.4783,-0.3386021,-9.910412,-0.3412917,-9.592369,0.630298,-2.456944,1.536271,0.7973449,-0.03100367
right_hip_imu,4.341686,344.1852,219.0058,356.9678,-0.2959251,-9.792371,-0.1895756,-9.493445,0.6136717,-2.347751,1.534247,0.7945409,-0.03671692
right_hip_imu,4.391685,345.2646,218.1646,357.5663,-0.3248215,-9.837313,-0.04521683,-9.555575,0.6337751,-2.27367,1.531411,0.7916437,-0.0425432
right_hip_imu,4.441685,346.2878,217.5719,357.946,-0.2312183,-9.819407,0.08907616,-9.541569,0.5799389,-2.25927,1.527997,0.7886979,-0.0481468
right_hip_imu,4.491684,347.0742,217.6299,358.191,-0.1591682,-9.691687,0.2934381,-9.40153,0.6023036,-2.299714,1.524185,0.7860229,-0.0530168
right_hip_imu,4.541683,347.8004,217.8275,358.4082,-0.1382351,-9.600158,0.3786832,-9.324982,0.6006953,-2.238175,1.520028,0.7838475,-0.05694009
right_hip_imu,4.591682,348.5967,217.9136,358.671,-0.07128716,-9.692044,0.3710493,-9.442368,0.5033771,-2.160274,1.515692,0.781942,-0.05993576
right_hip_imu,4.641682,349.2401,217.8947,358.7908,0.01349449,-9.720488,0.3197476,-9.494894,0.3862064,-2.070781,1.51139,0.7802353,-0.06213206
right_hip_imu,4.691681,349.6118,217.9915,358.8035,0.1048088,-9.677453,0.16056,-9.48197,0.2142732,-1.932926,1.50735,0.7788349,-0.06392696
right_hip_imu,4.74168,349.7948,218.0835,358.7172,0.1592159,-9.687085,0.04320294,-9.510233,0.1142573,-1.846414,1.503708,0.7777169,-0.06561386
right_hip_imu,4.791679,349.9203,218.0945,358.5192,0.1773357,-9.670277,0.03113151,-9.497519,0.1251273,-1.824323,1.500509,0.7769231,-0.06722292
right_wrist_imu,0.04166667,345.3997,235.0808,255.8191,-0.01344681,-9.815307,-0.01528263,2.323489,9.214927,-2.455054,1.376533,0.8981426,-0.02935308
right_wrist_imu,0.09166667,345.3418,235.017,255.7607,-0.02055168,-9.783168,-0.01993701,2.325418,9.182025,-2.448301,1.376448,0.8981464,-0.02944113
right_wrist_imu,0.1416667,345.1559,234.6096,255.6532,-0.05664825,-9.793205,0.006778538,2.385496,9.172146,-2.468068,1.376222,0.8981672,-0.02951223
right_wrist_imu,0.1916667,344.7548,234.2675,255.3629,-0.114727,-9.753771,0.03100112,2.472172,9.100918,-2.492383,1.375708,0.8983036,-0.02950583
right_wrist_imu,0.2416668,344.1932,234.404,255.0541,-0.3698826,-9.700007,0.03016889,2.658718,9.030152,-2.369732,1.37427,0.8986899,-0.02942401
right_wrist_imu,0.2916667,343.8079,234.6452,254.7488,-0.52495,-9.698052,0.1019023,2.850212,8.98291,-2.349854,1.371519,0.8993312,-0.02908743
right_wrist_imu,0.3416667,343.6846,234.8409,254.6826,-0.5525589,-9.826298,0.1116395,2.914919,9.092408,-2.388589,1.367388,0.8999066,-0.02847176
right_wrist_imu,0.3916666,343.7267,234.753,255.051,-0.7796764,-9.93814,0.1656346,3.065465,9.212656,-2.265398,1.361306,0.9001368,-0.02744199
right_wrist_imu,0.4416666,344.0436,234.5287,255.8442,-0.6407738,-10.10401,0.1605503,2.891982,9.411079,-2.365478,1.353623,0.8996069,-0.02601085
right_wrist_imu,0.4916665,344.2674,234.0148,257.1329,-0.4873276,-10.10344,0.1095638,2.551156,9.484448,-2.421944,1.344722,0.8983184,-0.02430581
right_wrist_imu,0.5416665,344.2397,233.3091,258.7278,-0.2257347,-9.998388,0.06089658,2.068767,9.439508,-2.576517,1.335256,0.896534,-0.02244852
right_wrist_imu,0.5916665,344.2544,233.3225,260.1678,0.08397102,-9.8983,0.02197847,1.591074,9.370987,-2.763525,1.326001,0.8945038,-0.02053628
right_wrist_imu,0.6416664,344.1033,233.8943,260.6989,0.4755974,-9.61463,0.04730001,1.237419,9.053091,-3.029853,1.317934,0.892937,-0.01850579
right_wrist_imu,0.6916664,343.4977,234.6723,260.5843,0.8739948,-9.263892,0.08554682,0.9879637,8.620219,-3.362551,1.312052,0.8927105,-0.01626144
right_wrist_imu,0.7416663,342.444,236.138,259.9356,1.174355,-8.993931,0.1680113,0.935286,8.215614,-3.73191,1.309106,0.8944992,-0.01359706
right_wrist_imu,0.7916663,342.3887,236.7669,261.4438,1.354599,-8.660383,0.03438704,0.4705751,7.92415,-3.71818,1.309547,0.8991369,-0.01084671
right_wrist_imu,0.8416662,340.5261,238.7396,260.2233,1.285124,-8.838172,0.4443902,1.056853,7.823623,-4.199571,1.3132,0.9061792,-0.006985384
right_wrist_imu,0.8916662,339.9974,239.3263,259.6564,1.040316,-9.289784,0.6126816,1.489536,8.181945,-4.312187,1.319454,0.914497,-0.001592355
right_wrist_imu,0.9416661,340.2861,238.5215,259.576,0.58074,-9.808297,0.6383833,1.857256,8.762497,-4.088627,1.32716,0.9227941,0.005396633
right_wrist_imu,0.9916661,340.5124,237.6451,260.5231,-0.06961823,-10.35649,0.779753,2.274285,9.397418,-3.792912,1.334692,0.9297,0.014335
right_wrist_imu,1.041666,340.5616,236.4405,261.4315,-0.6940842,-10.40983,0.4370287,2.218818,9.706312,-3.146724,1.340489,0.9350812,0.02436594
right_wrist_imu,1.091666,340.9355,237.1622,261.9866,-1.146746,-10.17577,0.1007512,2.081723,9.71922,-2.464725,1.343419,0.9395231,0.03464876
right_wrist_imu,1.141666,341.5424,238.0146,262.1829,-1.318645,-9.931822,-0.1013508,1.938668,9.617718,-2.032594,1.343052,0.9436354,0.04467821
right_wrist_imu,1.191666,341.9825,237.7439,262.4041,-1.264048,-9.49151,-0.3692687,1.60406,9.287132,-1.731836,1.339526,0.9485189,0.05378448
right_wrist_imu,1.241666,341.6159,236.9095,262.9947,-0.9803295,-9.459896,-0.4826143,1.266502,9.233706,-1.954055,1.333548,0.9542527,0.06168421
right_wrist_imu,1.291666,341.084,236.702,264.7587,-0.5484581,-10.08379,-0.3604546,0.8906708,9.711224,-2.648123,1.326199,0.959277,0.06868281
right_wrist_imu,1.341666,341.6214,237.7775,266.3991,0.006103516,-10.33442,-0.1210392,0.5116912,9.81326,-3.202043,1.318866,0.9629653,0.07537881
right_wrist_imu,1.391666,342.3576,239.2054,267.5599,0.6681442,-10.3208,0.1396209,0.188485,9.640491,-3.743038,1.313203,0.9653516,0.08242387
right_wrist_imu,1.441666,344.1189,239.7466,269.6772,1.080751,-9.883494,0.1885802,-0.3296299,9.226804,-3.693856,1.310241,0.9675291,0.08994037
right_wrist_imu,1.491666,345.9099,239.6886,273.0147,1.225662,-8.892937,-0.2169371,-1.246245,8.340444,-3.085049,1.310344,0.9719743,0.09691453
right_wrist_imu,1.541666,346.9109,240.0891,276.602,1.170492,-8.302946,-0.7543147,-2.142482,7.747699,-2.502193,1.313373,0.9801621,0.1020029
right_wrist_imu,1.591666,347.5275,240.331,280.1989,1.100063,-8.364172,-1.395682,-3.165376,7.670264,-2.065164,1.319152,0.9919395,0.1036021
right_wrist_imu,1.641665,348.8364,240.3414,283.6541,1.064348,-8.939786,-2.141407,-4.396613,7.984503,-1.598672,1.327593,1.005867,0.09984773
right_wrist_imu,1.691665,351.37,239.5946,286.2812,0.970459,-9.628053,-2.575192,-5.291713,8.444117,-0.9836345,1.338459,1.020225,0.0896554
right_wrist_imu,1.741665,354.0432,237.0699,287.9252,0.6095409,-10.76273,-2.885499,-5.947978,9.442002,-0.06564462,1.350849,1.032176,0.07224932
right_wrist_imu,1.791665,356.0178,233.4797,288.1891,-0.00500679,-11.71183,-2.952176,-5.936369,10.47627,0.9432957,1.363227,1.039348,0.04746281
right_wrist_imu,1.841665,356.7632,230.3229,287.0256,-0.6110191,-12.03351,-2.716215,-5.180125,11.10891,1.5215,1.374077,1.040935,0.01588575
right_wrist_imu,1.891665,355.843,227.4779,284.8029,-0.9885311,-12.29181,-2.433759,-4.264423,11.73135,1.476222,1.382455,1.036293,-0.0217757
right_wrist_imu,1.941665,353.7057,224.184,281.4613,-0.8221626,-11.88468,-1.954983,-3.147907,11.6361,0.6600572,1.388779,1.02644,-0.06432461
right_wrist_imu,1.991665,350.671,221.8636,277.5148,-0.5383968,-10.83331,-1.459881,-1.997104,10.75571,-0.3287255,1.393756,1.014003,-0.1105232
right_wrist_imu,2.041666,346.6146,219.6079,273.9117,-0.2449989,-9.789319,-2.442279,-2.046945,9.878517,-0.2837959,1.398121,1.001593,-0.1628275
right_wrist_imu,2.091666,341.0555,219.0186,270.2239,-0.8993149,-7.121439,1.384656,1.544779,6.576337,-2.794009,1.400238,0.995879,-0.2116702
right_wrist_imu,2.141667,331.9228,216.921,267.973,-1.553679,-5.647368,0.1202762,1.503727,5.326921,-1.919362,1.39847,1.000547,-0.2602122
right_wrist_imu,2.191668,319.7594,216.6527,265.6162,-1.859283,-4.487009,0.4475057,2.052531,3.764317,-2.325407,1.392054,1.018497,-0.3076354
right_wrist_imu,2.241668,310.5664,219.3919,261.1504,-1.638222,-4.031558,0.8476615,2.230816,2.601753,-2.812498,1.381543,1.050869,-0.3529395
right_wrist_imu,2.291669,303.0384,217.062,260.1637,-0.3402233,-5.653043,1.500273,1.542829,2.016401,-5.279899,1.370181,1.093607,-0.3944928
right_wrist_imu,2.34167,299.0739,214.9102,259.6505,1.193523,-9.150786,2.462173,0.7979209,1.973817,-9.310808,1.361803,1.137969,-0.4298908
right_wrist_imu,2.39167,298.2045,211.7704,260.4501,1.891041,-12.66131,3.163612,0.5111727,2.688748,-12.89972,1.358152,1.175178,-0.4573797
right_wrist_imu,2.441671,299.0298,207.0744,263.1628,2.088976,-15.51566,3.510129,0.2114747,3.968076,-15.54446,1.359724,1.198097,-0.4760933
right_wrist_imu,2.491672,301.1714,205.9175,262.965,1.35107,-16.1539,3.466976,0.9332994,5.112106,-15.74134,1.364673,1.205132,-0.4861394
right_wrist_imu,2.541672,303.8868,202.8142,265.0576,0.4007339,-14.89872,3.031886,1.307905,5.766623,-14.01288,1.370625,1.19942,-0.4886059
right_wrist_imu,2.591673,308.3172,198.1043,268.2199,0.02465248,-13.32302,2.544451,0.9643533,6.330041,-11.95736,1.376638,1.1849,-0.4847112
right_wrist_imu,2.641674,312.3678,194.9411,269.6219,-0.2197742,-12.20178,2.194452,0.8223196,6.692691,-10.40574,1.382102,1.164376,-0.4753304
right_wrist_imu,2.691674,316.0655,191.5153,270.4041,-0.02784729,-11.48066,1.968777,0.3714164,6.935749,-9.350937,1.387496,1.13965,-0.4610276
right_wrist_imu,2.741675,319.7561,189.9476,269.8537,0.1291275,-10.96758,1.768768,0.1968305,7.231171,-8.432357,1.393212,1.112005,-0.4423029
right_wrist_imu,2.791676,322.7578,190.6276,268.6215,-0.08044243,-10.43515,1.6644,0.5621689,7.314836,-7.605675,1.398728,1.082773,-0.4194173
right_wrist_imu,2.841676,325.3395,190.4729,268.441,-0.2517223,-9.959121,1.47804,0.7170898,7.374405,-6.821735,1.403614,1.053142,-0.3928365
right_wrist_imu,2.891677,327.933,190.9363,268.2165,-0.5474091,-9.225888,1.281965,1.004557,7.177377,-5.876764,1.407132,1.024947,-0.3630508
right_wrist_imu,2.941678,330.6719,192.7686,267.6117,-0.8263588,-8.265014,1.061511,1.322502,6.738803,-4.791632,1.408584,1.000589,-0.3306113
right_wrist_imu,2.991678,332.1834,195.2787,266.454,-1.074219,-7.577295,0.667429,1.613895,6.445883,-3.854976,1.407351,0.9817885,-0.2965033
